Date,Price,Open,High,Low
9/27/2022,408.82,413.05,414.53,409.41
9/28/2022,407.04,409.82,414,408.02
9/29/2022,404.93,408.04,414.75,405.93
9/30/2022,404.65,405.93,414,403.5
10/3/2022,405.21,405.65,414,403.6
10/4/2022,405.49,406.21,407.75,404.26
10/5/2022,404.68,406.49,407.25,403.34
10/6/2022,404.46,405.68,406.49,403.23
10/7/2022,401,405.46,406.23,402.78
10/10/2022,403.3,404.56,405.28,402.6
10/11/2022,403.02,404.3,405.15,401
10/12/2022,402.73,404.02,405.01,402.37
10/13/2022,402.91,403.73,404.95,402.07
10/14/2022,402.94,403.91,406.47,402.45
10/17/2022,403.13,403.94,405.07,402.47
10/18/2022,402.96,404.13,405.42,402.98
10/19/2022,402.99,403.96,405.24,402.48
10/20/2022,402.59,403.99,405.14,402.7
10/21/2022,402.59,403.59,404.8,402.01
10/24/2022,401.33,403.59,405.1,401.67
10/25/2022,399.91,402.33,404.9,399.95
10/26/2022,398.38,400.91,403.5,399.19
10/27/2022,395.7,399.38,403.9,396.35
10/28/2022,394.53,396.7,402.9,394.27
10/31/2022,401.8,395.53,402.6,393.83
11/1/2022,401.7,401.8,402.5,393.6
11/2/2022,394.37,401.8,402.1,394.6
11/3/2022,394.34,395.37,397.18,394.17
11/4/2022,395.52,395.34,397.26,393.17
11/7/2022,395.52,395.52,397.47,393.26
11/8/2022,396.25,395.52,403.1,393.99
11/9/2022,393.66,396.25,397.26,393.33
11/10/2022,394.27,394.66,397.14,393.5
11/11/2022,395.12,395.27,397.56,393.5
11/14/2022,394.93,396.12,406.2,394.21
11/15/2022,394.93,395.93,397.46,393.96
11/16/2022,394.14,395.93,397.46,393.57
11/17/2022,394.53,395.14,397.27,393.57
11/18/2022,395.5,395.53,397.27,393.58
11/21/2022,395.5,395.15,397.09,393.58
11/22/2022,393.79,395.5,397.09,393.39
11/23/2022,393.93,394.79,396.96,393.39
11/24/2022,393.93,394.93,396.96,393.46
11/25/2022,394.05,394.93,397.02,393.46
